                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 862.42,                 2.2098,                 726.21,                0.49418,                0.41212,                0.40517,                0.23013,                 1047.1,                 2.4649,                 896.33,               0.006634,               0.006634,               0.006634
                     36,                 883.24,                 2.1537,                 747.67,                 0.5644,                0.46061,                0.49929,                0.28931,                   1012,                 2.4032,                 858.24,               0.006535,               0.006535,               0.006535
                     37,                 830.52,                 2.1791,                 701.77,                0.60969,                0.48756,                0.52896,                0.31429,                 1042.7,                 2.2398,                 864.76,               0.006436,               0.006436,               0.006436
                     38,                 869.26,                 2.1101,                 736.88,                0.48398,                0.45758,                0.44806,                0.25804,                 1087.3,                 2.2823,                 894.52,               0.006337,               0.006337,               0.006337
                     39,                  797.7,                 2.0973,                 687.34,                 0.5719,                0.43333,                0.47088,                0.28178,                 1053.7,                 2.3311,                 887.26,               0.006238,               0.006238,               0.006238
                     40,                 887.83,                 2.1298,                  750.9,                0.57772,                 0.4697,                0.49184,                0.29969,                 1046.1,                 2.2999,                 886.63,               0.006139,               0.006139,               0.006139
                     41,                 863.27,                 2.0481,                  731.5,                0.63299,                0.48788,                0.52804,                0.31745,                 1046.9,                 2.2877,                 885.44,                0.00604,                0.00604,                0.00604
                     42,                 878.89,                 2.0271,                 741.13,                0.59203,                0.51818,                 0.5208,                0.29166,                 1069.2,                 2.2504,                 900.94,               0.005941,               0.005941,               0.005941
                     43,                 921.08,                 2.0247,                 771.15,                0.57095,                0.48788,                0.47718,                0.27168,                 1106.8,                 2.2798,                 902.58,               0.005842,               0.005842,               0.005842
                     44,                 840.06,                 2.0257,                 717.18,                0.52136,                0.47879,                 0.5002,                0.29913,                 1110.5,                 2.2823,                 896.21,               0.005743,               0.005743,               0.005743
                     45,                 820.72,                 1.9806,                 704.19,                0.67138,                0.43636,                  0.521,                0.30067,                 1070.2,                 2.2634,                 888.65,               0.005644,               0.005644,               0.005644
                     46,                 828.24,                 1.9614,                 714.02,                 0.5446,                0.49285,                0.51659,                0.29517,                   1100,                  2.236,                 894.32,               0.005545,               0.005545,               0.005545
                     47,                 859.15,                 1.9291,                 720.78,                0.55667,                0.49697,                0.51177,                 0.2888,                 1057.5,                 2.2347,                 891.71,               0.005446,               0.005446,               0.005446
                     48,                 855.46,                 1.9223,                 744.07,                0.63783,                0.45455,                 0.5537,                0.32258,                   1013,                 2.2109,                 865.34,               0.005347,               0.005347,               0.005347
                     49,                  860.2,                 1.9151,                 737.83,                0.60921,                0.48485,                 0.5128,                0.27083,                 1098.7,                 2.2978,                 921.33,               0.005248,               0.005248,               0.005248
                     50,                 813.11,                 1.8959,                 711.64,                0.56632,                0.52121,                0.56591,                0.32432,                 1043.7,                 2.1737,                 884.21,               0.005149,               0.005149,               0.005149
                     51,                 822.28,                  1.854,                 712.71,                0.53044,                0.50321,                0.48768,                0.25439,                 1219.9,                 2.2962,                 983.37,                0.00505,                0.00505,                0.00505
                     52,                 804.78,                 1.8693,                 698.66,                0.55323,                0.53658,                0.54929,                0.32427,                   1056,                 2.1123,                 884.14,               0.004951,               0.004951,               0.004951
                     53,                 797.86,                 1.8121,                  700.2,                0.53113,                0.53333,                0.52473,                0.32482,                 1025.4,                 2.1271,                 870.61,               0.004852,               0.004852,               0.004852
                     54,                 837.37,                 1.8623,                 724.03,                 0.5518,                0.57273,                 0.5486,                0.32633,                 1043.5,                 2.1701,                 886.68,               0.004753,               0.004753,               0.004753
                     55,                 778.89,                 1.9257,                 690.94,                0.55795,                0.52424,                0.54261,                0.32033,                   1035,                 2.1753,                 870.24,               0.004654,               0.004654,               0.004654
                     56,                 770.42,                 1.8259,                  688.6,                0.59384,                0.47273,                 0.5279,                0.31616,                   1008,                 2.1526,                 867.94,               0.004555,               0.004555,               0.004555
                     57,                 743.79,                 1.8154,                 661.02,                0.51258,                0.53939,                0.51456,                 0.2966,                 1055.9,                 2.1444,                 884.99,               0.004456,               0.004456,               0.004456
                     58,                 739.71,                 1.8134,                 660.02,                0.59502,                0.49697,                0.54251,                0.32281,                   1048,                 2.0981,                 880.04,               0.004357,               0.004357,               0.004357
                     59,                 756.79,                 1.9029,                  669.4,                0.55463,                 0.5321,                0.56757,                0.34933,                 1027.8,                 2.0721,                 882.35,               0.004258,               0.004258,               0.004258
                     60,                 771.07,                 1.7574,                 690.28,                 0.5587,                0.58788,                 0.5655,                0.33715,                 1021.3,                 2.0706,                 879.36,               0.004159,               0.004159,               0.004159
                     61,                  805.4,                 1.7196,                 708.86,                0.57133,                0.50303,                0.53977,                0.32382,                 1031.7,                 2.0894,                 877.38,                0.00406,                0.00406,                0.00406
                     62,                  785.5,                  1.851,                 701.79,                0.58806,                0.50181,                0.52141,                0.30604,                   1057,                 2.1571,                  892.4,               0.003961,               0.003961,               0.003961
                     63,                 718.99,                 1.7346,                 655.66,                0.64091,                0.53939,                0.57747,                0.33796,                 1043.3,                 2.0737,                 890.96,               0.003862,               0.003862,               0.003862
                     64,                 743.83,                 1.7159,                 676.99,                0.57932,                0.59257,                0.58426,                0.34365,                 1064.9,                 2.0703,                 915.27,               0.003763,               0.003763,               0.003763
