                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  990.9,                 2.9934,                 907.67,                0.00602,                0.72727,                0.10671,                0.05307,                 1292.5,                 3.3645,                 1098.1,               0.070341,              0.0032955,              0.0032955
                      1,                 797.53,                 2.8584,                 753.58,                0.03305,                0.49697,                0.10743,                 0.0487,                 1232.6,                 3.4346,                 1149.6,               0.040275,              0.0065632,              0.0065632
                      2,                 814.61,                 2.8489,                 755.08,                0.11484,                0.32424,                0.10035,                0.03977,                 1437.2,                 3.4761,                 1207.1,               0.010144,              0.0097649,              0.0097649
                      3,                 812.72,                    2.8,                 751.58,                0.36128,                0.10606,                0.13618,                0.05674,                 1407.1,                  3.342,                 1193.6,               0.009703,               0.009703,               0.009703
                      4,                  811.9,                 2.7219,                    762,                0.59066,                0.11806,                0.19385,                0.09315,                 1402.4,                 3.4094,                 1198.7,               0.009703,               0.009703,               0.009703
                      5,                 763.14,                 2.6211,                 730.61,                0.50917,                0.25455,                0.26873,                0.13257,                 1242.4,                 3.1673,                   1105,               0.009604,               0.009604,               0.009604
                      6,                 739.63,                 2.4919,                  707.1,                0.27132,                0.23333,                0.16465,                0.08261,                 1353.6,                 3.4247,                 1170.8,               0.009505,               0.009505,               0.009505
                      7,                 748.55,                 2.4261,                 715.04,                0.31005,                0.28182,                0.20736,                0.10077,                 1206.3,                 3.1424,                 1110.4,               0.009406,               0.009406,               0.009406
                      8,                 750.71,                 2.3122,                    732,                0.34571,                0.32424,                0.26575,                0.14533,                 1168.4,                 2.8406,                   1052,               0.009307,               0.009307,               0.009307
                      9,                 697.79,                 2.2176,                 690.58,                0.34995,                 0.2697,                0.24686,                0.12242,                   1274,                 2.9524,                 1150.3,               0.009208,               0.009208,               0.009208
                     10,                 723.24,                 2.0901,                 716.46,                0.46322,                0.35455,                0.30638,                0.14855,                 1254.6,                 2.9914,                 1120.5,               0.009109,               0.009109,               0.009109
                     11,                 688.96,                 1.9929,                 696.92,                0.29943,                0.36667,                0.26412,                0.14234,                   1132,                 2.8984,                 1030.8,                0.00901,                0.00901,                0.00901
                     12,                 655.77,                 1.8924,                 674.52,                0.45021,                0.40606,                0.35442,                0.19164,                 1133.6,                 2.7136,                 1006.5,               0.008911,               0.008911,               0.008911
                     13,                  645.7,                 1.7612,                 675.37,                0.41944,                    0.4,                0.38064,                0.20311,                 1205.4,                 2.8288,                 1033.8,               0.008812,               0.008812,               0.008812
                     14,                 680.88,                 1.6728,                 698.97,                 0.4648,                0.36667,                0.36081,                 0.1851,                 1209.4,                 2.7403,                 1073.5,               0.008713,               0.008713,               0.008713
                     15,                 672.58,                 1.6791,                 693.24,                0.48047,                0.36364,                0.36917,                0.20506,                 1117.3,                  2.553,                 982.82,               0.008614,               0.008614,               0.008614
                     16,                 617.81,                 1.6664,                  655.1,                0.59247,                0.42121,                0.46365,                0.24289,                 1186.9,                 2.4489,                 1043.6,               0.008515,               0.008515,               0.008515
