                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                    649,                 1.6191,                 682.82,                0.50179,                0.48485,                0.47033,                 0.2647,                 1094.8,                 2.4115,                 975.83,               0.008416,               0.008416,               0.008416
                     18,                 636.94,                 1.6028,                 679.38,                0.60197,                0.47662,                0.48591,                0.26858,                   1125,                 2.4475,                 984.22,               0.008317,               0.008317,               0.008317
                     19,                 639.68,                 1.5407,                 683.49,                0.58632,                0.48788,                0.51859,                 0.2905,                 1103.8,                 2.3256,                 987.45,               0.008218,               0.008218,               0.008218
                     20,                 630.61,                 1.5399,                 676.51,                0.62373,                0.56061,                0.56705,                0.29875,                 1104.3,                 2.2735,                 957.57,               0.008119,               0.008119,               0.008119
                     21,                 604.58,                 1.5262,                 662.74,                0.48267,                0.53939,                0.46357,                0.24765,                 1047.8,                 2.4522,                 946.07,                0.00802,                0.00802,                0.00802
                     22,                 584.94,                 1.5062,                 642.99,                0.53385,                0.47544,                0.45867,                 0.2403,                 1134.2,                 2.4471,                 991.51,               0.007921,               0.007921,               0.007921
                     23,                 603.27,                 1.5066,                 660.04,                0.57723,                    0.5,                0.47705,                0.25893,                 1111.9,                 2.4307,                 977.15,               0.007822,               0.007822,               0.007822
                     24,                 599.74,                 1.4763,                 653.45,                0.60623,                 0.4572,                0.51443,                0.28641,                   1079,                  2.355,                 964.16,               0.007723,               0.007723,               0.007723
                     25,                 587.15,                 1.4613,                  659.5,                0.57055,                0.54848,                0.53802,                0.31003,                 1072.3,                 2.3031,                 968.67,               0.007624,               0.007624,               0.007624
                     26,                 573.27,                  1.433,                 652.82,                0.54849,                0.48592,                0.50669,                0.27242,                 1087.9,                 2.3079,                 982.15,               0.007525,               0.007525,               0.007525
                     27,                 555.08,                 1.4267,                 637.12,                0.52046,                0.56364,                0.54757,                0.30205,                 1108.2,                  2.208,                 983.95,               0.007426,               0.007426,               0.007426
                     28,                 560.47,                 1.3896,                 640.07,                0.62173,                0.57273,                0.58016,                0.34223,                 1046.9,                 2.1543,                 928.82,               0.007327,               0.007327,               0.007327
                     29,                 589.68,                 1.4404,                 662.09,                0.58146,                0.50909,                0.51241,                0.28439,                 1087.3,                 2.3254,                 981.42,               0.007228,               0.007228,               0.007228
                     30,                 561.79,                 1.4038,                 650.62,                0.52792,                0.42424,                0.43935,                0.25012,                 1067.5,                 2.3349,                 943.29,               0.007129,               0.007129,               0.007129
                     31,                 574.14,                 1.4223,                 653.73,                0.57586,                0.57189,                0.55601,                0.32062,                 1037.3,                  2.172,                 917.59,                0.00703,                0.00703,                0.00703
                     32,                 544.87,                 1.3686,                 635.67,                0.59469,                0.52424,                 0.5426,                0.32162,                 1038.4,                 2.1712,                 947.63,               0.006931,               0.006931,               0.006931
                     33,                 547.61,                 1.3608,                 644.23,                0.62272,                0.54519,                0.55665,                0.31529,                 1049.6,                 2.1278,                    965,               0.006832,               0.006832,               0.006832
                     34,                  531.6,                 1.3795,                 626.36,                0.62462,                0.50909,                0.55786,                0.31982,                   1069,                 2.0905,                 943.17,               0.006733,               0.006733,               0.006733
                     35,                 565.71,                 1.3637,                  648.7,                0.70758,                0.46667,                0.55977,                0.32731,                 1057.2,                  2.171,                 953.32,               0.006634,               0.006634,               0.006634
                     36,                  550.1,                 1.3243,                 650.07,                 0.6483,                0.50606,                 0.5855,                0.34063,                 1070.9,                 2.1362,                 961.65,               0.006535,               0.006535,               0.006535
                     37,                 522.12,                 1.3209,                 628.12,                0.60738,                0.52727,                0.55255,                0.32985,                 1007.4,                 2.1801,                 933.57,               0.006436,               0.006436,               0.006436
                     38,                 512.54,                 1.3019,                 622.01,                0.62302,                0.56089,                0.58884,                0.33722,                 1047.7,                 2.0823,                 933.28,               0.006337,               0.006337,               0.006337
                     39,                 524.53,                 1.3002,                    623,                 0.6419,                0.55152,                0.59277,                0.33921,                 1048.8,                 2.1847,                 930.94,               0.006238,               0.006238,               0.006238
                     40,                 510.32,                 1.2812,                 620.55,                0.66183,                0.48485,                0.55267,                 0.3343,                 1029.3,                 2.2218,                 934.43,               0.006139,               0.006139,               0.006139
                     41,                 499.53,                 1.2956,                 606.86,                0.63686,                0.46236,                0.52671,                0.30272,                 1128.1,                 2.2847,                 963.97,                0.00604,                0.00604,                0.00604
                     42,                 519.41,                 1.3086,                 629.38,                0.60717,                0.50606,                 0.5276,                0.31066,                 1081.9,                 2.2566,                 960.19,               0.005941,               0.005941,               0.005941
                     43,                 499.56,                 1.2772,                 619.27,                  0.616,                0.57273,                0.58431,                0.33092,                 1062.7,                 2.1096,                 960.36,               0.005842,               0.005842,               0.005842
                     44,                  511.4,                 1.2729,                 621.96,                0.57604,                0.52424,                0.54885,                0.32854,                 1050.4,                 2.1634,                 931.71,               0.005743,               0.005743,               0.005743
                     45,                  515.3,                 1.2515,                 628.54,                0.59034,                0.56768,                0.58206,                0.35976,                 1009.3,                 1.9725,                  932.2,               0.005644,               0.005644,               0.005644
                     46,                 483.41,                 1.2237,                 609.74,                0.58042,                0.59944,                0.60866,                0.36375,                 1046.6,                 1.9565,                 937.83,               0.005545,               0.005545,               0.005545
                     47,                 500.63,                 1.2094,                 630.56,                0.60091,                0.57879,                0.58799,                0.34666,                 1022.2,                  2.024,                 916.56,               0.005446,               0.005446,               0.005446
                     48,                 502.91,                 1.2336,                 627.92,                 0.6058,                0.60909,                 0.6088,                0.35088,                 1055.1,                 2.0409,                 937.56,               0.005347,               0.005347,               0.005347
                     49,                 488.87,                  1.202,                 622.81,                0.64509,                0.58385,                0.61605,                0.36885,                 1009.2,                 2.0001,                  925.3,               0.005248,               0.005248,               0.005248
                     50,                 463.84,                 1.1956,                 597.74,                0.60402,                0.56392,                0.60117,                 0.3589,                 1022.6,                 2.0324,                 934.58,               0.005149,               0.005149,               0.005149
                     51,                 456.06,                 1.2003,                 589.43,                0.72455,                0.56061,                0.63084,                0.38329,                 1015.8,                 1.9366,                 941.38,                0.00505,                0.00505,                0.00505
                     52,                 463.04,                 1.1862,                 599.01,                0.63217,                0.56364,                0.61798,                0.38301,                 1021.2,                  2.018,                 913.24,               0.004951,               0.004951,               0.004951
                     53,                 498.01,                 1.1837,                 629.32,                0.64098,                0.60594,                0.63229,                0.36545,                 1054.3,                 1.9963,                 951.24,               0.004852,               0.004852,               0.004852
                     54,                 455.25,                 1.1824,                 592.03,                0.70795,                0.52889,                0.60953,                0.36956,                 999.58,                 2.0398,                 919.43,               0.004753,               0.004753,               0.004753
                     55,                 476.07,                 1.1849,                 609.08,                0.63581,                 0.5502,                0.59747,                0.35378,                 1005.9,                 2.0128,                 924.54,               0.004654,               0.004654,               0.004654
                     56,                 483.23,                 1.1614,                 627.81,                0.62012,                0.62823,                0.64384,                0.38067,                 1003.1,                 1.8943,                 921.46,               0.004555,               0.004555,               0.004555
                     57,                 468.37,                 1.1813,                 608.81,                0.62091,                0.60606,                0.63687,                0.38254,                 982.12,                 1.9118,                 910.04,               0.004456,               0.004456,               0.004456
                     58,                 433.29,                 1.1477,                 584.02,                0.67554,                0.57273,                0.62891,                0.36857,                 1051.9,                 1.9894,                 946.02,               0.004357,               0.004357,               0.004357
                     59,                 460.56,                 1.1513,                 609.32,                0.64015,                0.56063,                0.60573,                0.36367,                 1009.4,                 1.9721,                 926.27,               0.004258,               0.004258,               0.004258
                     60,                 468.97,                 1.1577,                 618.79,                 0.5658,                0.66364,                0.62588,                0.37646,                 1008.5,                 1.9822,                 928.74,               0.004159,               0.004159,               0.004159
                     61,                 446.12,                 1.1398,                 597.11,                0.65218,                    0.6,                0.62832,                0.38501,                 1010.2,                 1.9182,                  917.7,                0.00406,                0.00406,                0.00406
                     62,                  453.8,                 1.1282,                 600.05,                0.67878,                0.54242,                 0.6224,                0.38475,                 978.83,                 1.9485,                 895.63,               0.003961,               0.003961,               0.003961
                     63,                 446.31,                 1.1257,                 604.12,                0.67445,                0.58182,                 0.6362,                0.38655,                 1005.9,                 1.9569,                 928.15,               0.003862,               0.003862,               0.003862
                     64,                  431.9,                 1.1368,                 589.34,                 0.6875,                0.56061,                0.64638,                0.39499,                 977.03,                 1.9111,                 899.59,               0.003763,               0.003763,               0.003763
                     65,                 456.36,                 1.1339,                 609.24,                0.64321,                 0.5697,                0.60812,                0.37681,                 1007.2,                 1.9861,                 920.65,               0.003664,               0.003664,               0.003664
                     66,                 413.09,                  1.112,                 567.44,                0.66227,                0.54669,                0.62315,                0.38672,                 972.33,                 1.9208,                 894.19,               0.003565,               0.003565,               0.003565
                     67,                 431.46,                 1.1037,                 598.84,                0.67825,                0.56364,                0.63044,                0.38247,                 990.65,                 1.9214,                 895.63,               0.003466,               0.003466,               0.003466
                     68,                 440.26,                 1.1276,                 603.32,                0.65111,                0.59946,                 0.6292,                0.38853,                 986.31,                 1.9191,                 914.54,               0.003367,               0.003367,               0.003367
                     69,                 410.27,                 1.0798,                 578.52,                0.62897,                0.57879,                0.63608,                0.37866,                 1025.4,                  1.954,                 934.85,               0.003268,               0.003268,               0.003268
                     70,                 411.76,                 1.1394,                 576.79,                0.73777,                0.49449,                0.60397,                0.36681,                 992.47,                   1.95,                  918.4,               0.003169,               0.003169,               0.003169
                     71,                 417.21,                  1.118,                 590.54,                0.63303,                0.57879,                0.61054,                0.37921,                 991.16,                 2.0138,                 918.47,                0.00307,                0.00307,                0.00307
                     72,                 416.85,                 1.1045,                 586.66,                0.61244,                0.62253,                0.62121,                0.37877,                 988.14,                 2.0028,                 932.76,               0.002971,               0.002971,               0.002971
                     73,                 398.42,                 1.0623,                 578.16,                0.66465,                0.61262,                0.64191,                0.39308,                 978.57,                 1.9346,                 907.41,               0.002872,               0.002872,               0.002872
                     74,                 403.03,                 1.0639,                 578.18,                0.65989,                0.57879,                0.62011,                0.38875,                 998.15,                 1.9757,                 919.07,               0.002773,               0.002773,               0.002773
                     75,                  407.4,                 1.0618,                 587.41,                0.75779,                0.59728,                0.65602,                0.40404,                 997.87,                 1.9418,                 916.61,               0.002674,               0.002674,               0.002674
                     76,                 420.19,                 1.0614,                 598.02,                0.69813,                0.61212,                0.63894,                0.39774,                 959.93,                 1.9499,                  894.8,               0.002575,               0.002575,               0.002575
                     77,                 407.92,                 1.0562,                 590.58,                0.67116,                0.65758,                0.65682,                0.40509,                 977.67,                 1.8818,                 904.51,               0.002476,               0.002476,               0.002476
                     78,                 401.09,                 1.0518,                 584.66,                 0.6576,                0.62854,                0.65023,                0.40493,                  974.9,                 1.9324,                 909.86,               0.002377,               0.002377,               0.002377
                     79,                 386.58,                 1.0342,                 563.05,                0.66981,                0.64242,                0.65074,                0.40292,                 971.64,                 1.9299,                 908.85,               0.002278,               0.002278,               0.002278
                     80,                 405.22,                 1.0467,                 586.83,                0.66311,                0.61515,                0.64382,                 0.3961,                 962.37,                 1.8418,                 907.54,               0.002179,               0.002179,               0.002179
                     81,                 376.95,                 1.0489,                 560.32,                0.68106,                0.60606,                0.64052,                0.40377,                 970.29,                 1.8507,                 904.52,                0.00208,                0.00208,                0.00208
                     82,                 393.58,                 1.0318,                 590.69,                0.72813,                0.53636,                 0.6233,                0.38793,                 981.68,                 1.9006,                  915.6,               0.001981,               0.001981,               0.001981
                     83,                 381.11,                 1.0198,                 576.58,                0.74971,                0.55455,                0.63272,                0.39027,                 1011.8,                 1.9514,                 926.37,               0.001882,               0.001882,               0.001882
                     84,                 368.62,                  1.051,                 556.78,                0.69135,                0.59731,                0.65551,                0.40694,                 963.09,                  1.877,                 892.81,               0.001783,               0.001783,               0.001783
                     85,                 382.65,                 1.0336,                 571.96,                0.72881,                0.60303,                0.66765,                 0.4198,                 965.83,                 1.8366,                 901.78,               0.001684,               0.001684,               0.001684
                     86,                    372,                 1.0235,                 576.15,                0.68728,                0.60303,                0.66364,                0.40581,                 983.57,                 1.8559,                  908.8,               0.001585,               0.001585,               0.001585
                     87,                 351.34,                  1.013,                 544.25,                0.74516,                0.58479,                0.66929,                0.41505,                 981.47,                 1.8387,                 911.38,               0.001486,               0.001486,               0.001486
                     88,                 385.18,                 1.0258,                 586.96,                0.62107,                0.64848,                0.66169,                 0.4136,                 977.83,                 1.8596,                 902.24,               0.001387,               0.001387,               0.001387
                     89,                 377.47,                 1.0067,                  580.6,                0.72907,                0.59527,                0.67721,                 0.4186,                 979.47,                 1.8168,                 908.99,               0.001288,               0.001288,               0.001288
                     90,                 366.62,                 1.0187,                 562.68,                0.70086,                0.61768,                0.66716,                0.41159,                 987.33,                 1.8154,                 915.39,               0.001189,               0.001189,               0.001189
                     91,                 382.06,                 1.0174,                 589.62,                0.63733,                0.61212,                0.66546,                0.40881,                  975.2,                 1.8248,                 910.26,                0.00109,                0.00109,                0.00109
                     92,                 358.04,                 1.0011,                 557.67,                 0.6804,                0.62121,                0.66448,                0.41378,                 978.34,                 1.8093,                 913.11,               0.000991,               0.000991,               0.000991
                     93,                 373.25,                0.99957,                  582.6,                0.67382,                0.60721,                0.66242,                 0.4148,                 957.35,                  1.787,                 897.55,               0.000892,               0.000892,               0.000892
                     94,                 350.97,                 1.0037,                 554.85,                0.67441,                0.61515,                0.66508,                0.42108,                 957.92,                 1.8002,                 894.14,               0.000793,               0.000793,               0.000793
                     95,                 341.83,                0.99456,                 545.36,                0.66278,                0.62424,                0.66304,                0.42005,                 958.19,                  1.805,                 896.16,               0.000694,               0.000694,               0.000694
                     96,                 354.58,                 0.9995,                 562.44,                0.69015,                0.62424,                0.66934,                 0.4226,                 953.06,                 1.8148,                 896.24,               0.000595,               0.000595,               0.000595
                     97,                 361.39,                0.99403,                  576.3,                0.66081,                0.64939,                 0.6746,                0.42619,                 957.77,                 1.7941,                 903.63,               0.000496,               0.000496,               0.000496
                     98,                 350.26,                0.97891,                 574.61,                0.67648,                0.62121,                0.65611,                0.41055,                 949.93,                 1.8114,                  900.5,               0.000397,               0.000397,               0.000397
                     99,                 348.49,                0.98741,                 558.38,                0.68879,                0.63333,                0.67727,                 0.4268,                 950.85,                 1.7834,                 898.92,               0.000298,               0.000298,               0.000298
